scenario,year,sea_level_cm
SSP126medium,2030,12.96
SSP126medium,2040,16.88
SSP126medium,2050,21.23
SSP126medium,2060,24.80
SSP126medium,2070,28.90
SSP126medium,2080,31.58
SSP126medium,2090,33.68
SSP126medium,2100,37.21
SSP126medium,2110,38.46
SSP126medium,2120,41.19
SSP126medium,2130,43.67
SSP126medium,2140,46.04
SSP126medium,2150,48.47
SSP245medium,2030,13.31
SSP245medium,2040,17.39
SSP245medium,2050,23.02
SSP245medium,2060,27.86
SSP245medium,2070,32.80
SSP245medium,2080,37.74
SSP245medium,2090,43.07
SSP245medium,2100,50.24
SSP245medium,2110,53.41
SSP245medium,2120,59.02
SSP245medium,2130,64.67
SSP245medium,2140,70.26
SSP245medium,2150,75.69
SSP585medium,2030,12.63
SSP585medium,2040,18.09
SSP585medium,2050,24.36
SSP585medium,2060,30.80
SSP585medium,2070,38.64
SSP585medium,2080,47.83
SSP585medium,2090,58.33
SSP585medium,2100,69.78
SSP585medium,2110,74.80
SSP585medium,2120,84.75
SSP585medium,2130,94.56
SSP585medium,2140,104.41
SSP585medium,2150,114.13
